,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2,bogota-1
0, 0 files changed,,,adamantwharf,0,0,0,0,0,1
5, 2 files changed, 1 insertion(+), 29 deletions(-),aldiazve,2,1,29,0,0,1
6, 2 files changed, 4 insertions(+), 49 deletions(-),andfsanchezlem,2,4,49,0,0,1
7, 3 files changed, 11 insertions(+), 25 deletions(-),anfmorenoso,3,11,25,0,0,1
10, 0 files changed,,,bdcajicam,0,0,0,0,0,1
25, 0 files changed,,,Christian7sr,0,0,0,0,0,1
27, 0 files changed,,,crigar,0,0,0,0,0,1
30, 1 file changed, 69 insertions(+), 12 deletions(-),daandradec,1,69,12,0,0,1
34, 0 files changed,,,dasalgadob,0,0,0,0,0,1
41, 0 files changed,,,dfhincapiem,0,0,0,0,0,1
44, 0 files changed,,,diegoaguevarar,0,0,0,0,0,1
46, 3 files changed, 62 insertions(+), 674 deletions(-),djguzmanc,3,62,674,0,0,1
48, 1 file changed, 1 insertion(+), 3 deletions(-),dsbarrerag,1,1,3,0,0,1
50, 4 files changed, 141 insertions(+), 40 deletions(-),falperezgo,4,141,40,0,0,1
52, 1 file changed, 7 insertions(+), 90 deletions(-),fevargasmo,1,7,90,0,0,1
57, 1 file changed, 3 insertions(+), 4 deletions(-),gasierram,1,3,4,0,0,1
58, 10 files changed, 9 insertions(+), 20 deletions(-),gcantem,10,9,20,0,0,1
59, 8 files changed, 10 insertions(+), 6 deletions(-),gfalbarracinr,8,10,6,0,0,1
60, 0 files changed,,,gsuarezc04,0,0,0,0,0,1
62, 2 files changed, 5 insertions(+), 6 deletions(-),helmeraac,2,5,6,0,0,1
65, 0 files changed,,,ItsNavi,0,0,0,0,0,1
66, 0 files changed,,,ivdgonzalezco,0,0,0,0,0,1
67, 5 files changed, 27 insertions(+), 75 deletions(-),JairVillalba,5,27,75,0,0,1
70, 0 files changed,,,jcrubioa,0,0,0,0,0,1
74, 5 files changed, 21 insertions(+), 104 deletions(-),jesusfchavarro,5,21,104,0,0,1
79, 0 files changed,,,jiapulidoar,0,0,0,0,0,1
84, 0 files changed,,,jmhurtadoc,0,0,0,0,0,1
85, 1 file changed,,,joahernandezca,1,0,0,0,0,1
87, 1 file changed, 33 insertions(+), 96 deletions(-),jonatan360,1,33,96,0,0,1
92, 2 files changed, 8 insertions(+), 56 deletions(-),jsnarvaezb,2,8,56,0,0,1
93, 2 files changed, 5 insertions(+), 44 deletions(-),jsviveroj,2,5,44,0,0,1
101, 3 files changed, 53 insertions(+), 113 deletions(-),jufcontrerasco,3,53,113,0,0,1
123, 0 files changed,,,maikellPardo,0,0,0,0,0,1
127, 2 files changed, 28 insertions(+), 92 deletions(-),miaborjaac,2,28,92,0,0,1
131, 2 files changed,,,nabautistal,2,0,0,0,0,1
138, 2 files changed, 30 insertions(+), 158 deletions(-),oeroaq,2,30,158,0,0,1
149, 5 files changed, 12 insertions(+), 57 deletions(-),Semoralesga,5,12,57,0,0,1
153, 4 files changed, 16 insertions(+), 121 deletions(-),stevenbustos,4,16,121,0,0,1
159, 2 files changed, 437 insertions(+), 459 deletions(-),wolfstain,2,437,459,0,0,1
164, 0 files changed,,,Zeugmax,0,0,0,0,0,1
