,username_folder_name,left_only,right_only,both,name
0,2017-Purdue-UNAL-IronHack-Chranium,0,0,1,Chranium
1,2017-Purdue-UNAL-IronHack-bsgarciac,0,3,1,bsgarciac
2,2017-Purdue-UNAL-IronHack-dsbarrerag,0,3,0,dsbarrerag
3,2017-Purdue-UNAL-IronHack-falperezgo,0,52,0,falperezgo
4,2017-Purdue-UNAL-IronHack-jiapulidoar,0,1015,2620,jiapulidoar
5,2017-Purdue-UNAL-IronHack-kgbayala528,0,0,4,kgbayala528
6,2017-Purdue-UNAL-IronHack-lfvalderrama,0,0,3,lfvalderrama
7,2017-Purdue-UNAL-IronHack-nfmorenog,0,1,2,nfmorenog
8,2017-Purdue-UNAL-IronHack-oeroaq,0,0,15,oeroaq
9,2017-Purdue-UNAL-IronHack-ronaldsg20,0,0,119259,ronaldsg20
10,2017-Purdue-UNAL-IronHack-srmedinac,0,59,16,srmedinac
11,2017-Purdue-UNAL-IronHack-wolfstain,1,2,1,wolfstain
12,2017-Purdue-UNAL-IronHack-xdanielsb,0,5,170,xdanielsb
